V,E,command,mean,stddev,median,user,system,min,max
560000,1119997,../project < in.txt,0.18085790330249996,0.000692628996853917,0.18059171423999998,0.17612852,0.00461869375,0.18022409124,0.18277350124
570000,1139997,../project < in.txt,0.17289745159294118,0.0011182950168582503,0.17262695724,0.16862893529411763,0.004212084705882353,0.17164802924,0.17506473324
580000,1159997,../project < in.txt,0.19046215046666667,0.0007192259350278551,0.190184968,0.18464219333333326,0.005699093333333333,0.18987681900000003,0.19190258100000002
590000,1179997,../project < in.txt,0.1798664096375,0.0008268068088102953,0.1796154207,0.1755874425,0.00416715,0.1786904252,0.1817980602
600000,1199997,../project < in.txt,0.19347574786000002,0.001035364239559697,0.19294091206000002,0.1887077,0.004678468000000001,0.19246339106000002,0.19613735506000002
610000,1219997,../project < in.txt,0.20206671436571425,0.0006118995458366873,0.20172124508,0.19764966571428572,0.004231811428571429,0.20152117108,0.20348234708000001
620000,1239997,../project < in.txt,0.19273225216666662,0.0008318379090361508,0.1923758439,0.1882979133333333,0.0043272200000000005,0.1917670139,0.1941885559
630000,1259997,../project < in.txt,0.19635549294000001,0.0008673097854178413,0.19590549934,0.19134574666666665,0.004895704,0.19543846234,0.19806848634000002
640000,1279997,../project < in.txt,0.21372331236153846,0.0012098657145457388,0.2135306949,0.20704827538461534,0.006564981538461538,0.21250658890000002,0.2164681339
650000,1299997,../project < in.txt,0.2145959007246154,0.0009479590780540557,0.21436732534000003,0.20986915076923074,0.004614276923076923,0.21355540634,0.21625248034000003
660000,1319997,../project < in.txt,0.20686785436285718,0.0008334081174615163,0.20662940322,0.2016988,0.004986008571428572,0.20595946422000003,0.20879322122000002
670000,1339997,../project < in.txt,0.22268929954615388,0.0013308883405832638,0.2222379127,0.2183045876923077,0.004290261538461539,0.2211151657,0.2255484157
680000,1359997,../project < in.txt,0.21426569462153847,0.0010150576674548808,0.21410036116,0.20892543076923076,0.005218276923076923,0.21319106016,0.21646866216000002
690000,1379997,../project < in.txt,0.20325882993142855,0.001194155148944316,0.20303385186,0.1972564314285714,0.00590006,0.20209348186,0.20721704486
700000,1399997,../project < in.txt,0.22088303775230772,0.0004775759150441234,0.22071250806,0.21700977538461538,0.0037271538461538458,0.22036419406000002,0.22188695306000003
710000,1419997,../project < in.txt,0.24050377422000002,0.001246659476532862,0.24023437322000002,0.23364686999999998,0.006691229999999999,0.23928942272,0.24354928572
720000,1439997,../project < in.txt,0.24306957078000002,0.007530328349529771,0.24053405678,0.23573996666666663,0.0071749633333333335,0.23981005728000002,0.26664552528
730000,1459997,../project < in.txt,0.24743747760000004,0.0007376539803266839,0.24710403060000002,0.24020993636363633,0.007074236363636365,0.2465938776,0.2490670416
740000,1479997,../project < in.txt,0.2515030178018182,0.0012533462267557932,0.25099801362,0.24119133454545458,0.010156072727272727,0.25039368362000003,0.25448842062000004
750000,1499997,../project < in.txt,0.2354514438466667,0.0005240911181282104,0.23537196218,0.2280842333333333,0.007179123333333333,0.23473594468,0.23638997168
760000,1519997,../project < in.txt,0.24278282441666668,0.0017958796508152886,0.24187888950000003,0.23820364999999996,0.004410751666666666,0.24145866450000003,0.24672409850000002
770000,1539997,../project < in.txt,0.24671431227000007,0.0009413791231766922,0.24655536952000004,0.24126441666666668,0.005315481666666666,0.24546886402,0.24876757202
780000,1559997,../project < in.txt,0.2628756636127273,0.0009342395618718065,0.26274346834,0.2530105545454545,0.00968199818181818,0.26197407334,0.26512434134
790000,1579997,../project < in.txt,0.2708286040272727,0.0006339918165959373,0.27078295630000004,0.2649091290909091,0.005740823636363635,0.26994827930000004,0.27212252630000006
800000,1599997,../project < in.txt,0.27434409330000004,0.001115151488655285,0.27404096219999996,0.26794376,0.006288517999999998,0.2730972982,0.2768243902
810000,1619997,../project < in.txt,0.26040179224000004,0.000856761552465444,0.26010259324,0.2518041072727273,0.008453309090909088,0.25953401924,0.26231464324000003
820000,1639997,../project < in.txt,0.26496125663636366,0.001088986180800223,0.26455934700000006,0.2570021254545454,0.007802654545454546,0.26402663900000006,0.26726235900000006
830000,1659997,../project < in.txt,0.2853135238,0.0008584934477565572,0.2849802488,0.27798537999999995,0.007147884,0.2843681273,0.2869829813
840000,1679997,../project < in.txt,0.28933537954000005,0.0011939596027591443,0.28908288894,0.2806608,0.00847053,0.28804459544,0.29228839344
850000,1699997,../project < in.txt,0.29340170502000007,0.0010864105628824365,0.29342487462,0.28425677999999993,0.008952960000000001,0.29217097812000004,0.29503907512
860000,1719997,../project < in.txt,0.27813381896000006,0.0011500963533834653,0.27788317776000004,0.27006259999999993,0.00785136,0.27671043176000004,0.28083699876
870000,1739997,../project < in.txt,0.30202991166000004,0.0013728817724849196,0.30167671366000004,0.29312972,0.008710873999999999,0.30054719366000004,0.30439987566000004
880000,1759997,../project < in.txt,0.3049477365800001,0.0016041156603361095,0.30450946008,0.29879205999999997,0.005999628,0.30350315958,0.30833415958000004
890000,1779997,../project < in.txt,0.30771577102,0.0005130117945446004,0.30767935611999997,0.2978572,0.00964866,0.30695376112,0.30859544512
900000,1799997,../project < in.txt,0.31258786124,0.0012961000662760863,0.31239112574,0.30434572,0.008051172,0.31115144324,0.31570987223999997
910000,1819997,../project < in.txt,0.27656435205999996,0.0016042686362732056,0.27593587946,0.26808822,0.00826004,0.27534185095999997,0.28055401396
920000,1839997,../project < in.txt,0.31996018862000003,0.001127324135063638,0.31957454852,0.31311246000000004,0.006643079999999998,0.31858602852,0.32210697152
930000,1859997,../project < in.txt,0.3239684394400001,0.0025504125752066546,0.32312498184000005,0.31501455999999994,0.008719479999999998,0.32147199684000005,0.33039305484000003
940000,1879997,../project < in.txt,0.32731052365999996,0.0012549919810604258,0.32685462446,0.31906379999999995,0.00803048,0.32614966746,0.32968754546
950000,1899997,../project < in.txt,0.33073349572,0.0009201210403942024,0.33065957062000007,0.32165068,0.00886126,0.32922936462,0.33261243562000004
960000,1919997,../project < in.txt,0.33473430775999996,0.0008833589634276428,0.33483235006,0.32568889999999995,0.00882868,0.33349543056000003,0.33616488656000004
970000,1939996,../project < in.txt,0.33836921586,0.0009652780005646191,0.33823771656,0.32938874,0.00876556,0.33730141056,0.33996119556000004
980000,1959997,../project < in.txt,0.34346318018,0.001957664053821792,0.34312263738,0.33588282,0.0073392200000000005,0.34197625238,0.34885541238
990000,1979997,../project < in.txt,0.32588021606,0.0018177416358472255,0.32528822345999997,0.31447203999999995,0.01119746,0.32429355196,0.32965154496
1000000,1999997,../project < in.txt,0.34187862914000006,0.0013400593491029527,0.34140696544000004,0.33080128,0.010865399999999999,0.34042302944,0.34509814844000003
